program,sequencer,lane,device,destination,port,channel,midi_note,note_name_standard_C4_60,bar,step_in_bar,global_step_in_program,velocity,gate,micro_offset_oxi_increments,probability_percent,ratchet,comments
RIO-A CORE,1,5,Analog Rytm MKII,BT / PREKICK RUMBLE,OXI OUT 1 → Rytm,Use established Rytm pad-trigger receive channel,4,E0 / E-2,1,16,16,106,short drum gate,1,100,,Late pre-kick pull into the following kick
RIO-A CORE,1,6,Analog Rytm MKII,LT / LOW TRIBAL,OXI OUT 1 → Rytm,Use established Rytm pad-trigger receive channel,5,F0 / F-2,1,3,3,102,short drum gate,-1,100,,
RIO-A CORE,1,6,Analog Rytm MKII,LT / LOW TRIBAL,OXI OUT 1 → Rytm,Use established Rytm pad-trigger receive channel,5,F0 / F-2,1,11,11,88,short drum gate,0,80,,
RIO-A CORE,1,7,Analog Rytm MKII,MT / MID TRIBAL,OXI OUT 1 → Rytm,Use established Rytm pad-trigger receive channel,6,F#0 / F#-2,1,7,7,94,short drum gate,0,100,,
RIO-A CORE,1,7,Analog Rytm MKII,MT / MID TRIBAL,OXI OUT 1 → Rytm,Use established Rytm pad-trigger receive channel,6,F#0 / F#-2,1,15,15,82,short drum gate,0,75,,
RIO-A CORE,1,8,Analog Rytm MKII,HT / HIGH TRIBAL,OXI OUT 1 → Rytm,Use established Rytm pad-trigger receive channel,7,G0 / G-2,1,8,8,76,short drum gate,0,70,,
RIO-A CORE,1,8,Analog Rytm MKII,HT / HIGH TRIBAL,OXI OUT 1 → Rytm,Use established Rytm pad-trigger receive channel,7,G0 / G-2,1,16,16,92,short drum gate,0,85,,
RIO-A CORE,2,1,Analog Rytm MKII,CH / MAIN HAT,OXI OUT 1 → Rytm,Use established Rytm pad-trigger receive channel,8,G#0 / G#-2,1,2,2,112,short drum gate,0,100,,
RIO-A CORE,2,1,Analog Rytm MKII,CH / MAIN HAT,OXI OUT 1 → Rytm,Use established Rytm pad-trigger receive channel,8,G#0 / G#-2,1,6,6,96,short drum gate,0,100,,
RIO-A CORE,2,1,Analog Rytm MKII,CH / MAIN HAT,OXI OUT 1 → Rytm,Use established Rytm pad-trigger receive channel,8,G#0 / G#-2,1,10,10,106,short drum gate,0,100,,
RIO-A CORE,2,1,Analog Rytm MKII,CH / MAIN HAT,OXI OUT 1 → Rytm,Use established Rytm pad-trigger receive channel,8,G#0 / G#-2,1,14,14,92,short drum gate,0,90,,
RIO-A CORE,2,2,Analog Rytm MKII,OH / OPEN HAT,OXI OUT 1 → Rytm,Use established Rytm pad-trigger receive channel,9,A0 / A-2,1,3,3,78,short drum gate,0,100,,
RIO-A CORE,2,2,Analog Rytm MKII,OH / OPEN HAT,OXI OUT 1 → Rytm,Use established Rytm pad-trigger receive channel,9,A0 / A-2,1,7,7,68,short drum gate,0,85,,
RIO-A CORE,2,2,Analog Rytm MKII,OH / OPEN HAT,OXI OUT 1 → Rytm,Use established Rytm pad-trigger receive channel,9,A0 / A-2,1,11,11,76,short drum gate,0,100,,
RIO-A CORE,2,2,Analog Rytm MKII,OH / OPEN HAT,OXI OUT 1 → Rytm,Use established Rytm pad-trigger receive channel,9,A0 / A-2,1,15,15,62,short drum gate,1,70,,
RIO-A CORE,2,4,Analog Rytm MKII,CB / METAL BELL,OXI OUT 1 → Rytm,Use established Rytm pad-trigger receive channel,11,B0 / B-2,1,4,4,88,short drum gate,0,70,,
RIO-A CORE,2,4,Analog Rytm MKII,CB / METAL BELL,OXI OUT 1 → Rytm,Use established Rytm pad-trigger receive channel,11,B0 / B-2,1,7,7,70,short drum gate,0,70,,
RIO-A CORE,2,4,Analog Rytm MKII,CB / METAL BELL,OXI OUT 1 → Rytm,Use established Rytm pad-trigger receive channel,11,B0 / B-2,1,12,12,82,short drum gate,0,70,,
RIO-A CORE,2,4,Analog Rytm MKII,CB / METAL BELL,OXI OUT 1 → Rytm,Use established Rytm pad-trigger receive channel,11,B0 / B-2,1,15,15,66,short drum gate,0,70,,
RIO-A CORE,1,1,Analog Rytm MKII,BD / A SHARP KICK,OXI OUT 1 → Rytm,Use established Rytm pad-trigger receive channel,0,C0 / C-2,2,1,17,127,short drum gate,0,100,,
RIO-A CORE,1,1,Analog Rytm MKII,BD / A SHARP KICK,OXI OUT 1 → Rytm,Use established Rytm pad-trigger receive channel,0,C0 / C-2,2,5,21,127,short drum gate,0,100,,
RIO-A CORE,1,1,Analog Rytm MKII,BD / A SHARP KICK,OXI OUT 1 → Rytm,Use established Rytm pad-trigger receive channel,0,C0 / C-2,2,9,25,127,short drum gate,0,100,,
RIO-A CORE,1,1,Analog Rytm MKII,BD / A SHARP KICK,OXI OUT 1 → Rytm,Use established Rytm pad-trigger receive channel,0,C0 / C-2,2,13,29,127,short drum gate,0,100,,
RIO-A CORE,1,3,Analog Rytm MKII,RS / TRIBAL RIM,OXI OUT 1 → Rytm,Use established Rytm pad-trigger receive channel,2,D0 / D-2,2,3,19,104,short drum gate,0,100,,
RIO-A CORE,1,3,Analog Rytm MKII,RS / TRIBAL RIM,OXI OUT 1 → Rytm,Use established Rytm pad-trigger receive channel,2,D0 / D-2,2,7,23,74,short drum gate,-1,100,,
RIO-A CORE,1,3,Analog Rytm MKII,RS / TRIBAL RIM,OXI OUT 1 → Rytm,Use established Rytm pad-trigger receive channel,2,D0 / D-2,2,11,27,96,short drum gate,0,100,,
RIO-A CORE,1,3,Analog Rytm MKII,RS / TRIBAL RIM,OXI OUT 1 → Rytm,Use established Rytm pad-trigger receive channel,2,D0 / D-2,2,15,31,68,short drum gate,1,75,,
RIO-A CORE,1,4,Analog Rytm MKII,CP / MUTED CLAP,OXI OUT 1 → Rytm,Use established Rytm pad-trigger receive channel,3,D#0 / D#-2,2,6,22,78,short drum gate,0,100,,
RIO-A CORE,1,4,Analog Rytm MKII,CP / MUTED CLAP,OXI OUT 1 → Rytm,Use established Rytm pad-trigger receive channel,3,D#0 / D#-2,2,14,30,86,short drum gate,0,100,,
RIO-A CORE,1,5,Analog Rytm MKII,BT / PREKICK RUMBLE,OXI OUT 1 → Rytm,Use established Rytm pad-trigger receive channel,4,E0 / E-2,2,4,20,100,short drum gate,1,100,,Late pre-kick pull into the following kick
RIO-A CORE,1,5,Analog Rytm MKII,BT / PREKICK RUMBLE,OXI OUT 1 → Rytm,Use established Rytm pad-trigger receive channel,4,E0 / E-2,2,8,24,92,short drum gate,1,85,,Late pre-kick pull into the following kick
RIO-A CORE,1,5,Analog Rytm MKII,BT / PREKICK RUMBLE,OXI OUT 1 → Rytm,Use established Rytm pad-trigger receive channel,4,E0 / E-2,2,12,28,98,short drum gate,1,100,,Late pre-kick pull into the following kick
RIO-A CORE,1,5,Analog Rytm MKII,BT / PREKICK RUMBLE,OXI OUT 1 → Rytm,Use established Rytm pad-trigger receive channel,4,E0 / E-2,2,16,32,106,short drum gate,1,100,,Late pre-kick pull into the following kick
RIO-A CORE,1,6,Analog Rytm MKII,LT / LOW TRIBAL,OXI OUT 1 → Rytm,Use established Rytm pad-trigger receive channel,5,F0 / F-2,2,3,19,102,short drum gate,-1,100,,
RIO-A CORE,1,6,Analog Rytm MKII,LT / LOW TRIBAL,OXI OUT 1 → Rytm,Use established Rytm pad-trigger receive channel,5,F0 / F-2,2,11,27,88,short drum gate,0,80,,
RIO-A CORE,1,7,Analog Rytm MKII,MT / MID TRIBAL,OXI OUT 1 → Rytm,Use established Rytm pad-trigger receive channel,6,F#0 / F#-2,2,7,23,94,short drum gate,0,100,,
RIO-A CORE,1,7,Analog Rytm MKII,MT / MID TRIBAL,OXI OUT 1 → Rytm,Use established Rytm pad-trigger receive channel,6,F#0 / F#-2,2,15,31,82,short drum gate,0,75,,
RIO-A CORE,1,8,Analog Rytm MKII,HT / HIGH TRIBAL,OXI OUT 1 → Rytm,Use established Rytm pad-trigger receive channel,7,G0 / G-2,2,8,24,76,short drum gate,0,70,,
RIO-A CORE,1,8,Analog Rytm MKII,HT / HIGH TRIBAL,OXI OUT 1 → Rytm,Use established Rytm pad-trigger receive channel,7,G0 / G-2,2,16,32,92,short drum gate,0,85,,
RIO-A CORE,2,1,Analog Rytm MKII,CH / MAIN HAT,OXI OUT 1 → Rytm,Use established Rytm pad-trigger receive channel,8,G#0 / G#-2,2,2,18,112,short drum gate,0,100,,
RIO-A CORE,2,1,Analog Rytm MKII,CH / MAIN HAT,OXI OUT 1 → Rytm,Use established Rytm pad-trigger receive channel,8,G#0 / G#-2,2,6,22,96,short drum gate,0,100,,
RIO-A CORE,2,1,Analog Rytm MKII,CH / MAIN HAT,OXI OUT 1 → Rytm,Use established Rytm pad-trigger receive channel,8,G#0 / G#-2,2,10,26,106,short drum gate,0,100,,
RIO-A CORE,2,1,Analog Rytm MKII,CH / MAIN HAT,OXI OUT 1 → Rytm,Use established Rytm pad-trigger receive channel,8,G#0 / G#-2,2,14,30,92,short drum gate,0,90,,
RIO-A CORE,2,2,Analog Rytm MKII,OH / OPEN HAT,OXI OUT 1 → Rytm,Use established Rytm pad-trigger receive channel,9,A0 / A-2,2,3,19,78,short drum gate,0,100,,
RIO-A CORE,2,2,Analog Rytm MKII,OH / OPEN HAT,OXI OUT 1 → Rytm,Use established Rytm pad-trigger receive channel,9,A0 / A-2,2,7,23,68,short drum gate,0,85,,
RIO-A CORE,2,2,Analog Rytm MKII,OH / OPEN HAT,OXI OUT 1 → Rytm,Use established Rytm pad-trigger receive channel,9,A0 / A-2,2,11,27,76,short drum gate,0,100,,
RIO-A CORE,2,2,Analog Rytm MKII,OH / OPEN HAT,OXI OUT 1 → Rytm,Use established Rytm pad-trigger receive channel,9,A0 / A-2,2,15,31,62,short drum gate,1,70,,
RIO-A CORE,2,4,Analog Rytm MKII,CB / METAL BELL,OXI OUT 1 → Rytm,Use established Rytm pad-trigger receive channel,11,B0 / B-2,2,4,20,88,short drum gate,0,70,,
RIO-A CORE,2,4,Analog Rytm MKII,CB / METAL BELL,OXI OUT 1 → Rytm,Use established Rytm pad-trigger receive channel,11,B0 / B-2,2,7,23,70,short drum gate,0,70,,
RIO-A CORE,2,4,Analog Rytm MKII,CB / METAL BELL,OXI OUT 1 → Rytm,Use established Rytm pad-trigger receive channel,11,B0 / B-2,2,12,28,82,short drum gate,0,70,,
RIO-A CORE,2,4,Analog Rytm MKII,CB / METAL BELL,OXI OUT 1 → Rytm,Use established Rytm pad-trigger receive channel,11,B0 / B-2,2,15,31,66,short drum gate,0,70,,
RIO-A CORE,1,1,Analog Rytm MKII,BD / A SHARP KICK,OXI OUT 1 → Rytm,Use established Rytm pad-trigger receive channel,0,C0 / C-2,3,1,33,127,short drum gate,0,100,,
RIO-A CORE,1,1,Analog Rytm MKII,BD / A SHARP KICK,OXI OUT 1 → Rytm,Use established Rytm pad-trigger receive channel,0,C0 / C-2,3,5,37,127,short drum gate,0,100,,
RIO-A CORE,1,1,Analog Rytm MKII,BD / A SHARP KICK,OXI OUT 1 → Rytm,Use established Rytm pad-trigger receive channel,0,C0 / C-2,3,9,41,127,short drum gate,0,100,,
RIO-A CORE,1,1,Analog Rytm MKII,BD / A SHARP KICK,OXI OUT 1 → Rytm,Use established Rytm pad-trigger receive channel,0,C0 / C-2,3,13,45,127,short drum gate,0,100,,
RIO-A CORE,1,3,Analog Rytm MKII,RS / TRIBAL RIM,OXI OUT 1 → Rytm,Use established Rytm pad-trigger receive channel,2,D0 / D-2,3,3,35,104,short drum gate,0,100,,
RIO-A CORE,1,3,Analog Rytm MKII,RS / TRIBAL RIM,OXI OUT 1 → Rytm,Use established Rytm pad-trigger receive channel,2,D0 / D-2,3,7,39,74,short drum gate,-1,100,,
RIO-A CORE,1,3,Analog Rytm MKII,RS / TRIBAL RIM,OXI OUT 1 → Rytm,Use established Rytm pad-trigger receive channel,2,D0 / D-2,3,11,43,96,short drum gate,0,100,,
RIO-A CORE,1,3,Analog Rytm MKII,RS / TRIBAL RIM,OXI OUT 1 → Rytm,Use established Rytm pad-trigger receive channel,2,D0 / D-2,3,15,47,68,short drum gate,1,75,,
RIO-A CORE,1,5,Analog Rytm MKII,BT / PREKICK RUMBLE,OXI OUT 1 → Rytm,Use established Rytm pad-trigger receive channel,4,E0 / E-2,3,4,36,100,short drum gate,1,100,,Late pre-kick pull into the following kick
RIO-A CORE,1,5,Analog Rytm MKII,BT / PREKICK RUMBLE,OXI OUT 1 → Rytm,Use established Rytm pad-trigger receive channel,4,E0 / E-2,3,8,40,92,short drum gate,1,100,,Late pre-kick pull into the following kick
RIO-A CORE,1,5,Analog Rytm MKII,BT / PREKICK RUMBLE,OXI OUT 1 → Rytm,Use established Rytm pad-trigger receive channel,4,E0 / E-2,3,12,44,98,short drum gate,1,100,,Late pre-kick pull into the following kick
RIO-A CORE,1,5,Analog Rytm MKII,BT / PREKICK RUMBLE,OXI OUT 1 → Rytm,Use established Rytm pad-trigger receive channel,4,E0 / E-2,3,16,48,106,short drum gate,1,100,,Late pre-kick pull into the following kick
RIO-A CORE,1,6,Analog Rytm MKII,LT / LOW TRIBAL,OXI OUT 1 → Rytm,Use established Rytm pad-trigger receive channel,5,F0 / F-2,3,3,35,102,short drum gate,-1,100,,
RIO-A CORE,1,6,Analog Rytm MKII,LT / LOW TRIBAL,OXI OUT 1 → Rytm,Use established Rytm pad-trigger receive channel,5,F0 / F-2,3,11,43,88,short drum gate,0,80,,
RIO-A CORE,1,7,Analog Rytm MKII,MT / MID TRIBAL,OXI OUT 1 → Rytm,Use established Rytm pad-trigger receive channel,6,F#0 / F#-2,3,7,39,94,short drum gate,0,100,,
RIO-A CORE,1,7,Analog Rytm MKII,MT / MID TRIBAL,OXI OUT 1 → Rytm,Use established Rytm pad-trigger receive channel,6,F#0 / F#-2,3,15,47,82,short drum gate,0,75,,
RIO-A CORE,1,8,Analog Rytm MKII,HT / HIGH TRIBAL,OXI OUT 1 → Rytm,Use established Rytm pad-trigger receive channel,7,G0 / G-2,3,8,40,76,short drum gate,0,70,,
RIO-A CORE,1,8,Analog Rytm MKII,HT / HIGH TRIBAL,OXI OUT 1 → Rytm,Use established Rytm pad-trigger receive channel,7,G0 / G-2,3,16,48,92,short drum gate,0,85,,
RIO-A CORE,2,1,Analog Rytm MKII,CH / MAIN HAT,OXI OUT 1 → Rytm,Use established Rytm pad-trigger receive channel,8,G#0 / G#-2,3,2,34,112,short drum gate,0,100,,
RIO-A CORE,2,1,Analog Rytm MKII,CH / MAIN HAT,OXI OUT 1 → Rytm,Use established Rytm pad-trigger receive channel,8,G#0 / G#-2,3,6,38,96,short drum gate,0,100,,
RIO-A CORE,2,1,Analog Rytm MKII,CH / MAIN HAT,OXI OUT 1 → Rytm,Use established Rytm pad-trigger receive channel,8,G#0 / G#-2,3,10,42,106,short drum gate,0,100,,
RIO-A CORE,2,1,Analog Rytm MKII,CH / MAIN HAT,OXI OUT 1 → Rytm,Use established Rytm pad-trigger receive channel,8,G#0 / G#-2,3,14,46,92,short drum gate,0,90,,
RIO-A CORE,2,2,Analog Rytm MKII,OH / OPEN HAT,OXI OUT 1 → Rytm,Use established Rytm pad-trigger receive channel,9,A0 / A-2,3,3,35,78,short drum gate,0,100,,
RIO-A CORE,2,2,Analog Rytm MKII,OH / OPEN HAT,OXI OUT 1 → Rytm,Use established Rytm pad-trigger receive channel,9,A0 / A-2,3,7,39,68,short drum gate,0,85,,
RIO-A CORE,2,2,Analog Rytm MKII,OH / OPEN HAT,OXI OUT 1 → Rytm,Use established Rytm pad-trigger receive channel,9,A0 / A-2,3,11,43,76,short drum gate,0,100,,
RIO-A CORE,2,2,Analog Rytm MKII,OH / OPEN HAT,OXI OUT 1 → Rytm,Use established Rytm pad-trigger receive channel,9,A0 / A-2,3,15,47,62,short drum gate,1,70,,
RIO-A CORE,2,4,Analog Rytm MKII,CB / METAL BELL,OXI OUT 1 → Rytm,Use established Rytm pad-trigger receive channel,11,B0 / B-2,3,4,36,88,short drum gate,0,70,,
RIO-A CORE,2,4,Analog Rytm MKII,CB / METAL BELL,OXI OUT 1 → Rytm,Use established Rytm pad-trigger receive channel,11,B0 / B-2,3,7,39,70,short drum gate,0,70,,
RIO-A CORE,2,4,Analog Rytm MKII,CB / METAL BELL,OXI OUT 1 → Rytm,Use established Rytm pad-trigger receive channel,11,B0 / B-2,3,12,44,82,short drum gate,0,70,,
RIO-A CORE,2,4,Analog Rytm MKII,CB / METAL BELL,OXI OUT 1 → Rytm,Use established Rytm pad-trigger receive channel,11,B0 / B-2,3,15,47,66,short drum gate,0,70,,
RIO-A CORE,1,1,Analog Rytm MKII,BD / A SHARP KICK,OXI OUT 1 → Rytm,Use established Rytm pad-trigger receive channel,0,C0 / C-2,4,1,49,127,short drum gate,0,100,,
RIO-A CORE,1,1,Analog Rytm MKII,BD / A SHARP KICK,OXI OUT 1 → Rytm,Use established Rytm pad-trigger receive channel,0,C0 / C-2,4,5,53,127,short drum gate,0,100,,
RIO-A CORE,1,1,Analog Rytm MKII,BD / A SHARP KICK,OXI OUT 1 → Rytm,Use established Rytm pad-trigger receive channel,0,C0 / C-2,4,9,57,127,short drum gate,0,100,,
RIO-A CORE,1,1,Analog Rytm MKII,BD / A SHARP KICK,OXI OUT 1 → Rytm,Use established Rytm pad-trigger receive channel,0,C0 / C-2,4,13,61,127,short drum gate,0,100,,
RIO-A CORE,1,3,Analog Rytm MKII,RS / TRIBAL RIM,OXI OUT 1 → Rytm,Use established Rytm pad-trigger receive channel,2,D0 / D-2,4,3,51,104,short drum gate,0,100,,
RIO-A CORE,1,3,Analog Rytm MKII,RS / TRIBAL RIM,OXI OUT 1 → Rytm,Use established Rytm pad-trigger receive channel,2,D0 / D-2,4,7,55,74,short drum gate,-1,100,,
RIO-A CORE,1,3,Analog Rytm MKII,RS / TRIBAL RIM,OXI OUT 1 → Rytm,Use established Rytm pad-trigger receive channel,2,D0 / D-2,4,11,59,96,short drum gate,0,100,,
RIO-A CORE,1,3,Analog Rytm MKII,RS / TRIBAL RIM,OXI OUT 1 → Rytm,Use established Rytm pad-trigger receive channel,2,D0 / D-2,4,15,63,68,short drum gate,1,75,,
RIO-A CORE,1,4,Analog Rytm MKII,CP / MUTED CLAP,OXI OUT 1 → Rytm,Use established Rytm pad-trigger receive channel,3,D#0 / D#-2,4,6,54,78,short drum gate,0,100,,
RIO-A CORE,1,4,Analog Rytm MKII,CP / MUTED CLAP,OXI OUT 1 → Rytm,Use established Rytm pad-trigger receive channel,3,D#0 / D#-2,4,14,62,86,short drum gate,0,100,,
RIO-A CORE,1,5,Analog Rytm MKII,BT / PREKICK RUMBLE,OXI OUT 1 → Rytm,Use established Rytm pad-trigger receive channel,4,E0 / E-2,4,4,52,100,short drum gate,1,100,,Late pre-kick pull into the following kick
RIO-A CORE,1,5,Analog Rytm MKII,BT / PREKICK RUMBLE,OXI OUT 1 → Rytm,Use established Rytm pad-trigger receive channel,4,E0 / E-2,4,8,56,92,short drum gate,1,85,,Late pre-kick pull into the following kick
RIO-A CORE,1,5,Analog Rytm MKII,BT / PREKICK RUMBLE,OXI OUT 1 → Rytm,Use established Rytm pad-trigger receive channel,4,E0 / E-2,4,12,60,98,short drum gate,1,100,,Late pre-kick pull into the following kick
RIO-A CORE,1,5,Analog Rytm MKII,BT / PREKICK RUMBLE,OXI OUT 1 → Rytm,Use established Rytm pad-trigger receive channel,4,E0 / E-2,4,16,64,106,short drum gate,1,100,,Late pre-kick pull into the following kick
RIO-A CORE,1,6,Analog Rytm MKII,LT / LOW TRIBAL,OXI OUT 1 → Rytm,Use established Rytm pad-trigger receive channel,5,F0 / F-2,4,3,51,102,short drum gate,-1,100,,
RIO-A CORE,1,6,Analog Rytm MKII,LT / LOW TRIBAL,OXI OUT 1 → Rytm,Use established Rytm pad-trigger receive channel,5,F0 / F-2,4,11,59,88,short drum gate,0,80,,
RIO-A CORE,1,7,Analog Rytm MKII,MT / MID TRIBAL,OXI OUT 1 → Rytm,Use established Rytm pad-trigger receive channel,6,F#0 / F#-2,4,7,55,94,short drum gate,0,100,,
RIO-A CORE,1,7,Analog Rytm MKII,MT / MID TRIBAL,OXI OUT 1 → Rytm,Use established Rytm pad-trigger receive channel,6,F#0 / F#-2,4,15,63,82,short drum gate,0,75,,
RIO-A CORE,1,8,Analog Rytm MKII,HT / HIGH TRIBAL,OXI OUT 1 → Rytm,Use established Rytm pad-trigger receive channel,7,G0 / G-2,4,8,56,76,short drum gate,0,70,,
RIO-A CORE,1,8,Analog Rytm MKII,HT / HIGH TRIBAL,OXI OUT 1 → Rytm,Use established Rytm pad-trigger receive channel,7,G0 / G-2,4,16,64,92,short drum gate,0,85,1/32 ×2,
RIO-A CORE,2,1,Analog Rytm MKII,CH / MAIN HAT,OXI OUT 1 → Rytm,Use established Rytm pad-trigger receive channel,8,G#0 / G#-2,4,2,50,112,short drum gate,0,100,,
RIO-A CORE,2,1,Analog Rytm MKII,CH / MAIN HAT,OXI OUT 1 → Rytm,Use established Rytm pad-trigger receive channel,8,G#0 / G#-2,4,6,54,96,short drum gate,0,100,,
RIO-A CORE,2,1,Analog Rytm MKII,CH / MAIN HAT,OXI OUT 1 → Rytm,Use established Rytm pad-trigger receive channel,8,G#0 / G#-2,4,10,58,106,short drum gate,0,100,,
RIO-A CORE,2,1,Analog Rytm MKII,CH / MAIN HAT,OXI OUT 1 → Rytm,Use established Rytm pad-trigger receive channel,8,G#0 / G#-2,4,14,62,92,short drum gate,0,90,,
RIO-A CORE,2,2,Analog Rytm MKII,OH / OPEN HAT,OXI OUT 1 → Rytm,Use established Rytm pad-trigger receive channel,9,A0 / A-2,4,3,51,78,short drum gate,0,100,,
RIO-A CORE,2,2,Analog Rytm MKII,OH / OPEN HAT,OXI OUT 1 → Rytm,Use established Rytm pad-trigger receive channel,9,A0 / A-2,4,7,55,68,short drum gate,0,85,,
RIO-A CORE,2,2,Analog Rytm MKII,OH / OPEN HAT,OXI OUT 1 → Rytm,Use established Rytm pad-trigger receive channel,9,A0 / A-2,4,11,59,76,short drum gate,0,100,,
RIO-A CORE,2,2,Analog Rytm MKII,OH / OPEN HAT,OXI OUT 1 → Rytm,Use established Rytm pad-trigger receive channel,9,A0 / A-2,4,15,63,62,short drum gate,1,70,,
RIO-A CORE,2,4,Analog Rytm MKII,CB / METAL BELL,OXI OUT 1 → Rytm,Use established Rytm pad-trigger receive channel,11,B0 / B-2,4,4,52,88,short drum gate,0,70,,
RIO-A CORE,2,4,Analog Rytm MKII,CB / METAL BELL,OXI OUT 1 → Rytm,Use established Rytm pad-trigger receive channel,11,B0 / B-2,4,7,55,70,short drum gate,0,70,,
RIO-A CORE,2,4,Analog Rytm MKII,CB / METAL BELL,OXI OUT 1 → Rytm,Use established Rytm pad-trigger receive channel,11,B0 / B-2,4,12,60,82,short drum gate,0,70,,
RIO-A CORE,2,4,Analog Rytm MKII,CB / METAL BELL,OXI OUT 1 → Rytm,Use established Rytm pad-trigger receive channel,11,B0 / B-2,4,15,63,66,short drum gate,0,70,,
RIO-A CORE,1,2,Analog Rytm MKII,SD / CLIP IMPACT,OXI OUT 1 → Rytm,Use established Rytm pad-trigger receive channel,1,C#0 / C#-2,4,15,63,88,short drum gate,0,100,,
RIO-A CORE,1,2,Analog Rytm MKII,SD / CLIP IMPACT,OXI OUT 1 → Rytm,Use established Rytm pad-trigger receive channel,1,C#0 / C#-2,4,16,64,108,short drum gate,0,100,1/32 ×2,
RIO-B PEAK,1,1,Analog Rytm MKII,BD / A SHARP KICK,OXI OUT 1 → Rytm,Use established Rytm pad-trigger receive channel,0,C0 / C-2,1,1,1,127,short drum gate,0,100,,
RIO-B PEAK,1,1,Analog Rytm MKII,BD / A SHARP KICK,OXI OUT 1 → Rytm,Use established Rytm pad-trigger receive channel,0,C0 / C-2,1,5,5,127,short drum gate,0,100,,
RIO-B PEAK,1,1,Analog Rytm MKII,BD / A SHARP KICK,OXI OUT 1 → Rytm,Use established Rytm pad-trigger receive channel,0,C0 / C-2,1,9,9,127,short drum gate,0,100,,
RIO-B PEAK,1,1,Analog Rytm MKII,BD / A SHARP KICK,OXI OUT 1 → Rytm,Use established Rytm pad-trigger receive channel,0,C0 / C-2,1,13,13,127,short drum gate,0,100,,
RIO-B PEAK,1,3,Analog Rytm MKII,RS / TRIBAL RIM,OXI OUT 1 → Rytm,Use established Rytm pad-trigger receive channel,2,D0 / D-2,1,3,3,104,short drum gate,0,100,,
RIO-B PEAK,1,3,Analog Rytm MKII,RS / TRIBAL RIM,OXI OUT 1 → Rytm,Use established Rytm pad-trigger receive channel,2,D0 / D-2,1,7,7,74,short drum gate,-1,100,,
RIO-B PEAK,1,3,Analog Rytm MKII,RS / TRIBAL RIM,OXI OUT 1 → Rytm,Use established Rytm pad-trigger receive channel,2,D0 / D-2,1,11,11,96,short drum gate,0,100,,
RIO-B PEAK,1,3,Analog Rytm MKII,RS / TRIBAL RIM,OXI OUT 1 → Rytm,Use established Rytm pad-trigger receive channel,2,D0 / D-2,1,15,15,68,short drum gate,1,75,,
RIO-B PEAK,1,5,Analog Rytm MKII,BT / PREKICK RUMBLE,OXI OUT 1 → Rytm,Use established Rytm pad-trigger receive channel,4,E0 / E-2,1,4,4,100,short drum gate,1,100,,Late pre-kick pull into the following kick
